type,L1,L2,L3,L4,manufacturer_group,tax_type
その他,自転車修理（電動アシスト）,チェーンまわり総交換,,,,
その他,自転車修理（電動アシスト）,メインスイッチ交換,,,,
その他,自転車修理（電動アシスト）,モーター交換,ユニット全交換,,,
その他,自転車修理（電動アシスト）,モーター交換,ユニット内部のみ交換,,,
その他,自転車修理（電動アシスト）,セーフティー点検,,,,
その他,自転車修理（電動アシスト）,TS点検、一式点検,,,,
その他,自転車修理（電動アシスト）,お引き取り手数料（1台当り）,,,,
その他,自転車修理（電動アシスト）,一般車・折り畳み自転車組立・点検（9分組）,,,,
その他,自転車修理（電動アシスト）,一般車・折り畳み自転車組立・点検（5分組）,,,,
その他,自転車修理（電動アシスト）,電動アシスト自転車組立・点検（5分組）,,,,
その他,自転車修理（電動アシスト）,洗車,,,,
その他,修理（スポーツ）,パンク,1ヶ所まで,,,
その他,修理（スポーツ）,パンク,水調べ,,,
その他,修理（スポーツ）,タイヤチューブ,クリンチャータイヤ、チューブ（WO、HE）,,,
その他,修理（スポーツ）,タイヤチューブ,チューブレスレディ、チューブレスタイヤ,,,
その他,修理（スポーツ）,タイヤチューブ,チューブラータイヤ（テープによる貼付）,,,
その他,修理（スポーツ）,タイヤチューブ,チューブラータイヤ（セメントによる貼付）,,,
その他,修理（スポーツ）,振れ取り,車輪脱着不要,,,
その他,修理（スポーツ）,振れ取り,車輪脱着有り,,,
その他,修理（スポーツ）,振れ取り,後輪、スプロケット脱着有り,,,
その他,修理（スポーツ）,スポーク・ニップル交換,スポーク交換・車輪脱着不要,,,
その他,修理（スポーツ）,スポーク・ニップル交換,スポーク交換・車輪脱着（片輪）,,,
その他,修理（スポーツ）,スポーク・ニップル交換,ニップル交換,,,
その他,修理（スポーツ）,ホイール組,組替え（前輪）,,,
その他,修理（スポーツ）,ホイール組,組替え（後輪）,,,
その他,修理（スポーツ）,車輪交換,前輪交換,,,
その他,修理（スポーツ）,車輪交換,後輪交換,,,
その他,修理（スポーツ）,ハブ,オーバーホール（前輪）,,,
その他,修理（スポーツ）,ハブ,オーバーホール（後輪）,,,
その他,修理（スポーツ）,チェーン,チェーン交換,,,
その他,修理（スポーツ）,チェーンリング,チェーンリング交換,,,
その他,修理（スポーツ）,チェーンリング,ギアガード取付,,,
その他,修理（スポーツ）,クランク,クランク（片側）交換,,,
その他,修理（スポーツ）,クランク,ワンピースクランク交換,,,
その他,修理（スポーツ）,クランク,BBシャフト一体型（ホローテックⅡなど）交換,,,
その他,修理（スポーツ）,スプロケット,スプロケット交換,,,
その他,修理（スポーツ）,BB,カートリッジBB交換,,,
その他,修理（スポーツ）,BB,BBシャフト一体型（ホローテックⅡなど）BB交換,,,
その他,修理（スポーツ）,BB,圧入式BB交換,,,
その他,修理（スポーツ）,BB,オーバーホール（カップ＆コーン）,,,
その他,修理（スポーツ）,BB,BBタッピングのみ,,,
その他,修理（スポーツ）,ペダル,ペダル交換（左右セット）,,,
その他,修理（スポーツ）,ペダル,クリート取付、位置調整,,,
その他,修理（スポーツ）,ペダル,トゥクリップ取付,,,
その他,修理（スポーツ）,MTB、クロスバイク(フラットハンドル),ハンドルバー交換,,,
その他,修理（スポーツ）,MTB、クロスバイク(フラットハンドル),グリップ交換,,,
その他,修理（スポーツ）,MTB、クロスバイク(フラットハンドル),バーエンドバー取付,,,
その他,修理（スポーツ）,MTB、クロスバイク(フラットハンドル),ハンドルバーカット,,,
その他,修理（スポーツ）,ロード（ドロップハンドル）,ドロップハンドル交換,,,
その他,修理（スポーツ）,ロード（ドロップハンドル）,バーテープ巻きつけ、交換,,,
その他,修理（スポーツ）,ステム交換,フラットハンドル,,,
その他,修理（スポーツ）,ステム交換,ドロップハンドル,,,
その他,修理（スポーツ）,ステム交換,オープンクランプの場合,,,
その他,修理（スポーツ）,サドル交換、シートポスト交換・取付,サドル交換、シートポスト交換・取付,,,
その他,修理（スポーツ）,変速調整（前後）,,,
その他,修理（スポーツ）,ケーブル交換（変速調整は片側のみ基本工賃に含まれます。）,インナーワイヤーのみ1本,,,
その他,修理（スポーツ）,ケーブル交換（変速調整は片側のみ基本工賃に含まれます。）,インナー、アウターワイヤー1本,,,
その他,修理（スポーツ）,ディレイラー交換（変速調整は片側のみ基本工賃に含まれます。）,前ディレイラー,,,
その他,修理（スポーツ）,ディレイラー交換（変速調整は片側のみ基本工賃に含まれます。）,前ディレイラー（Eタイプ・BBプレートあり）,,,
その他,修理（スポーツ）,ディレイラー交換（変速調整は片側のみ基本工賃に含まれます。）,後ディレイラー,,,
その他,修理（スポーツ）,プーリー交換,プーリー交換,,,
その他,修理（スポーツ）,エンド修正,リプレイスエンド交換,,,
その他,修理（スポーツ）,エンド修正,エンド修正,,,
その他,修理（スポーツ）,シフトレバー交換（変速調整は基本工賃に含まれます。）（片側のみの場合は、基本工賃の半額となります）,セパレートタイプ交換,,,
その他,修理（スポーツ）,シフトレバー交換（変速調整は基本工賃に含まれます。）（片側のみの場合は、基本工賃の半額となります）,ブレーキレバー一体型交換,,,
その他,修理（スポーツ）,シフトレバー交換（変速調整は基本工賃に含まれます。）（片側のみの場合は、基本工賃の半額となります）,グリップシフト,,,
その他,修理（スポーツ）,シフトレバー交換（変速調整は基本工賃に含まれます。）（片側のみの場合は、基本工賃の半額となります）,Wレバー,,,
その他,修理（スポーツ）,ブレーキ調整（前後）,ブレーキ調整（前後）,,,
その他,修理（スポーツ）,ケーブル交換（ブレーキ調整は片側のみ基本工賃に含まれます。）,インナーワイヤーのみ1本,,,
その他,修理（スポーツ）,ケーブル交換（ブレーキ調整は片側のみ基本工賃に含まれます。）,インナー、アウターワイヤー1本,,,
その他,修理（スポーツ）,ケーブル交換（ブレーキ調整は片側のみ基本工賃に含まれます。）,油圧ディスクケーブル1本,,,
その他,修理（スポーツ）,ケーブル交換（ブレーキ調整は片側のみ基本工賃に含まれます。）,ブレーキフルード、調整1本,,,
その他,修理（スポーツ）,ブレーキシュー、パッド交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,キャリパー、Vブレーキシュー,,,
その他,修理（スポーツ）,ブレーキシュー、パッド交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,カンチ、Uブレーキシュー,,,
その他,修理（スポーツ）,ブレーキシュー、パッド交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,ディスクブレーキパッド,,,
その他,修理（スポーツ）,ブレーキ本体交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,キャリパー、Vブレーキ本体,,,
その他,修理（スポーツ）,ブレーキ本体交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,カンチ、Uブレーキ本体,,,
その他,修理（スポーツ）,ブレーキ本体交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,機械式ディスクブレーキ本体,,,
その他,修理（スポーツ）,ブレーキ本体交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,油圧ディスクブレーキ本体,,,
その他,修理（スポーツ）,ブレーキ本体交換 片側（ブレーキ調整は片側のみ基本工賃に含まれます。）,ディスクローター交換,,,
その他,修理（スポーツ）,ブレーキレバー交換（左右セット）（ブレーキ調整は基本工賃に含まれます。）,フラットハンドル用機械式ブレーキ,,,
その他,修理（スポーツ）,ブレーキレバー交換（左右セット）（ブレーキ調整は基本工賃に含まれます。）,フラットハンドル用油圧式ディスクブレーキ,,,
その他,修理（スポーツ）,ブレーキレバー交換（左右セット）（ブレーキ調整は基本工賃に含まれます。）,ドロップハンドル用機械式レバー,,,
